BOOT
frequency=50Hz
3xAD7177 test start
{text}b1_nT,b2_nT,b3_nT,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,stm32_roll_deg,stm32_pitch_deg,vertical_raw_nT,vertical_corr_nT
{plotter}19777.630859,13902.661133,-27744.095703,0.053345,-0.005127,0.478149,0.061069,-0.122137,0.045802,-0.642868,-6.650804,-25419.988281,-25419.988281
{plotter}19775.052734,13901.990234,-27742.003906,0.057861,-0.004761,0.475586,0.015267,0.000000,0.000000,-0.639076,-6.665366,-25411.494141,-25419.205078
{plotter}19775.525391,13903.468750,-27743.109375,0.054932,-0.002197,0.471069,0.137405,-0.106870,-0.030534,-0.613953,-6.666662,-25406.115234,-25417.857422
{plotter}19776.917969,13901.966797,-27748.847656,0.053101,-0.004761,0.481934,0.167939,-0.137405,-0.015267,-0.607689,-6.646646,-25418.150391,-25420.574219
{plotter}19771.912109,13896.794922,-27750.015625,0.055054,-0.005249,0.484985,0.137405,-0.091603,0.045802,-0.605805,-6.638214,-25422.755859,-25423.386719
{plotter}19765.310547,13900.852539,-27752.486328,0.057007,-0.006592,0.480347,-0.061069,0.045802,0.030534,-0.617927,-6.645042,-25426.150391,-25426.105469
{plotter}19769.544922,13900.158203,-27747.017578,0.053345,-0.003540,0.470947,-0.091603,0.030534,0.030534,-0.608598,-6.633451,-25422.646484,-25426.589844
{plotter}19771.472656,13901.592773,-27748.316406,0.054688,-0.004517,0.480347,0.000000,-0.106870,0.015267,-0.604449,-6.627261,-25425.220703,-25427.531250
{plotter}19771.335938,13895.670898,-27759.621094,0.055176,-0.004150,0.470703,0.061069,-0.091603,0.030534,-0.597354,-6.632565,-25432.613281,-25430.500000
{plotter}19768.750000,13896.821289,-27760.195312,0.055176,-0.001465,0.480103,0.061069,-0.106870,-0.076336,-0.570611,-6.630116,-25428.162109,-25430.785156
{plotter}19763.753906,13902.865234,-27762.115234,0.056519,-0.004150,0.484619,0.122137,-0.061069,0.045802,-0.563493,-6.632616,-25428.023438,-25430.632812
{plotter}19764.117188,13896.175781,-27764.291016,0.056396,-0.003662,0.469849,0.076336,-0.030534,-0.015267,-0.554932,-6.645917,-25422.748047,-25428.486328
{plotter}19761.794922,13895.957031,-27765.023438,0.056152,-0.003296,0.477661,0.122137,-0.152672,0.015267,-0.542970,-6.652470,-25418.304688,-25425.273438
{plotter}19764.941406,13899.000000,-27777.207031,0.055786,-0.001831,0.486450,0.152672,0.000000,0.000000,-0.520293,-6.645833,-25427.355469,-25425.587891
{plotter}19762.189453,13896.242188,-27784.884766,0.053589,-0.003052,0.471436,0.045802,0.000000,-0.015267,-0.510394,-6.636165,-25436.787109,-25428.529297
{plotter}19754.613281,13902.170898,-27787.300781,0.057373,-0.003052,0.478638,0.045802,-0.045802,0.030534,-0.500869,-6.648996,-25432.746094,-25429.478516
{plotter}19752.781250,13903.797852,-27795.421875,0.056763,-0.004272,0.475342,0.061069,-0.030534,0.000000,-0.500516,-6.659214,-25436.876953,-25431.199219
{plotter}19751.326172,13906.170898,-27797.591797,0.054443,-0.004639,0.473755,-0.030534,-0.030534,-0.030534,-0.504706,-6.653575,-25442.460938,-25433.843750
{plotter}19746.611328,13907.797852,-27816.146484,0.057129,-0.003418,0.477539,0.091603,-0.106870,-0.045802,-0.497117,-6.665791,-25454.781250,-25438.800781
{plotter}19739.175781,13916.969727,-27831.820312,0.056763,-0.004761,0.475586,0.045802,0.000000,0.015267,-0.500844,-6.674174,-25468.830078,-25445.835938
{plotter}19740.486328,13915.100586,-27837.732422,0.055542,-0.004761,0.472778,-0.015267,-0.061069,-0.015267,-0.505703,-6.676926,-25474.589844,-25452.501953
{plotter}19735.185547,13916.808594,-27841.601562,0.054810,-0.002319,0.473633,0.061069,0.000000,0.000000,-0.490997,-6.672347,-25477.404297,-25458.207031
{plotter}19737.216797,13915.987305,-27847.462891,0.055176,-0.002808,0.483765,0.137405,-0.106870,-0.015267,-0.478732,-6.664520,-25483.195312,-25463.755859
{plotter}19734.261719,13921.178711,-27870.294922,0.053833,-0.002441,0.490479,-0.076336,-0.045802,-0.045802,-0.468582,-6.641403,-25513.066406,-25473.917969
{plotter}19736.285156,13919.402344,-27867.683594,0.055908,-0.006226,0.465576,-0.076336,0.015267,0.030534,-0.488048,-6.653400,-25510.058594,-25481.388672
{plotter}19730.039062,13918.993164,-27872.144531,0.054810,-0.003174,0.480469,0.015267,-0.137405,-0.045802,-0.481087,-6.647388,-25515.955078,-25488.337891
{plotter}19728.292969,13914.485352,-27870.830078,0.055054,-0.002808,0.476318,0.122137,-0.015267,0.015267,-0.470105,-6.644397,-25513.400391,-25493.367188
{plotter}19727.357422,13920.945312,-27876.964844,0.056030,-0.005127,0.472412,0.076336,-0.045802,-0.045802,-0.477600,-6.652442,-25518.228516,-25498.101562
{plotter}19732.845703,13927.483398,-27880.925781,0.053223,-0.000610,0.484619,0.137405,-0.061069,-0.015267,-0.450506,-6.630536,-25523.875000,-25502.720703
{plotter}19733.259766,13924.838867,-27879.259766,0.056030,-0.003540,0.470093,0.076336,0.030534,0.000000,-0.447869,-6.639871,-25517.804688,-25505.400391
{plotter}19731.818359,13918.733398,-27878.308594,0.053833,-0.004272,0.480835,0.152672,-0.091603,0.076336,-0.448706,-6.626536,-25522.494141,-25508.140625
{plotter}19733.685547,13921.008789,-27879.748047,0.055664,-0.003540,0.483765,0.076336,-0.030534,0.000000,-0.445451,-6.623342,-25524.224609,-25510.494141
{plotter}19732.542969,13923.287109,-27878.292969,0.055298,-0.006104,0.474609,0.030534,-0.015267,-0.015267,-0.462323,-6.624929,-25526.304688,-25512.582031
{plotter}19734.058594,13916.460938,-27879.931641,0.058105,-0.004883,0.472534,0.076336,-0.030534,-0.015267,-0.468577,-6.648605,-25519.751953,-25513.259766
{plotter}19731.337891,13921.410156,-27890.183594,0.053955,-0.001831,0.479736,0.091603,-0.061069,-0.015267,-0.451752,-6.635897,-25531.359375,-25515.205078
{plotter}19726.603516,13916.434570,-27890.064453,0.053833,-0.003052,0.480347,0.030534,-0.015267,-0.045802,-0.447566,-6.626513,-25534.492188,-25517.119141
{plotter}19726.458984,13917.981445,-27888.164062,0.056763,-0.001099,0.477539,-0.030534,-0.076336,0.015267,-0.435627,-6.634090,-25526.777344,-25517.628906
{plotter}19731.091797,13916.381836,-27882.531250,0.056519,-0.004883,0.472900,0.061069,-0.061069,0.015267,-0.440719,-6.642506,-25518.492188,-25516.876953
{plotter}19728.966797,13917.210938,-27891.039062,0.057007,-0.005371,0.474365,-0.061069,-0.106870,0.015267,-0.450336,-6.652992,-25525.298828,-25516.884766
{plotter}19725.468750,13917.607422,-27893.150391,0.056519,-0.002686,0.479858,0.091603,-0.045802,-0.045802,-0.443254,-6.656451,-25524.744141,-25516.679688
{plotter}19731.576172,13919.943359,-27890.494141,0.057861,-0.002197,0.476318,0.015267,-0.030534,0.000000,-0.435837,-6.667809,-25515.125000,-25515.253906
{plotter}19725.226562,13912.956055,-27890.845703,0.053345,-0.003174,0.476929,0.000000,0.000000,0.091603,-0.433909,-6.656318,-25520.279297,-25514.447266
{plotter}19729.468750,13915.003906,-27894.062500,0.052002,-0.002319,0.479492,-0.015267,-0.091603,0.015267,-0.428016,-6.639434,-25528.330078,-25514.496094
{plotter}19734.003906,13920.830078,-27900.154297,0.052490,-0.005005,0.474243,-0.045802,-0.091603,-0.015267,-0.436008,-6.628270,-25540.248047,-25515.720703
{plotter}19732.166016,13914.145508,-27894.359375,0.055542,-0.003174,0.478760,-0.015267,-0.091603,0.015267,-0.434143,-6.629611,-25533.675781,-25516.027344
{plotter}19727.517578,13916.133789,-27898.046875,0.052979,-0.004272,0.476074,-0.045802,-0.030534,0.076336,-0.438479,-6.618959,-25543.166016,-25517.195312
{plotter}19729.320312,13915.279297,-27890.353516,0.056274,-0.002808,0.476196,0.000000,-0.030534,0.000000,-0.434492,-6.624342,-25532.216797,-25517.044922
{plotter}19726.085938,13920.418945,-27894.068359,0.055786,-0.003418,0.476318,0.045802,-0.045802,0.015267,-0.432717,-6.627425,-25534.669922,-25517.070312
{plotter}19726.345703,13921.297852,-27894.884766,0.054565,-0.002075,0.479004,0.015267,-0.030534,-0.015267,-0.425034,-6.622839,-25535.457031,-25517.089844
{plotter}19731.095703,13924.147461,-27898.494141,0.056641,-0.005127,0.475952,0.015267,-0.045802,-0.030534,-0.432381,-6.630244,-25537.310547,-25517.210938
{plotter}19722.482422,13917.258789,-27896.585938,0.057007,-0.005127,0.477173,0.061069,0.015267,-0.015267,-0.438492,-6.637173,-25535.050781,-25517.037109
{plotter}19727.835938,13918.399414,-27896.005859,0.057129,-0.001953,0.474609,0.061069,-0.122137,-0.045802,-0.429103,-6.648629,-25527.066406,-25516.064453
{plotter}19723.751953,13916.460938,-27891.734375,0.055908,-0.002930,0.475220,-0.045802,-0.030534,0.045802,-0.427133,-6.651623,-25521.623047,-25514.615234
{plotter}19726.578125,13915.674805,-27893.402344,0.055298,-0.001953,0.478271,-0.015267,-0.061069,0.045802,-0.419859,-6.650527,-25521.656250,-25513.232422
{plotter}19725.775391,13917.182617,-27898.109375,0.056519,-0.005127,0.474121,0.030534,-0.061069,0.076336,-0.427453,-6.657566,-25525.431641,-25512.246094
{plotter}19727.300781,13915.391602,-27893.710938,0.054443,-0.005737,0.478027,0.076336,-0.030534,-0.106870,-0.436132,-6.651718,-25525.265625,-25511.277344
{plotter}19726.515625,13915.259766,-27897.509766,0.053589,-0.002563,0.479980,-0.015267,0.030534,0.000000,-0.431272,-6.639803,-25532.722656,-25510.990234
{plotter}19730.033203,13913.732422,-27892.675781,0.055786,-0.004028,0.473511,0.000000,-0.076336,0.015267,-0.433597,-6.644437,-25526.210938,-25510.119141
{plotter}19734.177734,13915.674805,-27894.585938,0.057007,-0.005859,0.479248,-0.015267,0.045802,0.076336,-0.444795,-6.648998,-25528.482422,-25509.470703
{plotter}19723.535156,13916.981445,-27900.041016,0.053223,-0.002686,0.479126,-0.030534,-0.045802,0.015267,-0.440536,-6.637434,-25538.740234,-25509.697266
{plotter}19728.017578,13917.171875,-27896.369141,0.055664,-0.002808,0.478149,0.000000,0.015267,0.045802,-0.436519,-6.637171,-25533.726562,-25509.455078
{plotter}19725.101562,13914.376953,-27892.476562,0.054688,-0.003540,0.478638,-0.015267,-0.045802,-0.076336,-0.436179,-6.633271,-25531.648438,-25509.029297
{plotter}19729.324219,13915.704102,-27895.087891,0.056152,-0.002930,0.475464,-0.030534,0.000000,0.000000,-0.433505,-6.637294,-25531.527344,-25508.589844
{plotter}19729.343750,13920.127930,-27898.580078,0.057251,-0.003296,0.475342,0.015267,-0.030534,-0.015267,-0.431757,-6.647058,-25530.718750,-25508.087891
